date,Bali vacation,Bali travel,Bali hotel
2019-12-29,4,19,100
2020-01-05,4,20,87
2020-01-12,4,19,91
2020-01-19,4,17,87
2020-01-26,3,17,73
2020-02-02,3,16,69
2020-02-09,3,19,63
2020-02-16,3,17,63
2020-02-23,3,21,65
2020-03-01,2,27,54
2020-03-08,2,34,45
2020-03-15,1,21,31
2020-03-22,1,6,21
2020-03-29,2,6,22
2020-04-05,1,5,20
2020-04-12,2,5,20
2020-04-19,2,6,20
2020-04-26,2,6,19
2020-05-03,1,5,20
2020-05-10,1,6,22
2020-05-17,2,7,22
2020-05-24,1,7,24
2020-05-31,2,7,23
2020-06-07,2,7,24
2020-06-14,2,7,24
2020-06-21,2,7,23
2020-06-28,1,7,24
2020-07-05,1,7,27
2020-07-12,1,7,27
2020-07-19,2,7,26
2020-07-26,2,8,27
2020-08-02,1,7,29
2020-08-09,2,7,28
2020-08-16,1,8,30
2020-08-23,1,7,31
2020-08-30,1,6,25
2020-09-06,1,7,24
2020-09-13,1,6,23
2020-09-20,1,5,22
2020-09-27,1,6,26
2020-10-04,1,6,34
2020-10-11,1,6,24
2020-10-18,1,5,25
2020-10-25,1,6,27
2020-11-01,1,5,26
2020-11-08,1,6,30
2020-11-15,1,6,30
2020-11-22,1,6,29
2020-11-29,1,6,32
2020-12-06,1,7,30
2020-12-13,1,6,28
2020-12-20,1,7,30
2020-12-27,2,8,33
2021-01-03,2,7,26
2021-01-10,2,7,21
2021-01-17,2,7,22
2021-01-24,1,6,19
2021-01-31,1,5,19
2021-02-07,1,7,21
2021-02-14,1,6,22
2021-02-21,1,7,21
2021-02-28,1,6,21
2021-03-07,2,7,22
2021-03-14,2,7,24
2021-03-21,1,7,27
2021-03-28,1,7,27
2021-04-04,2,7,26
2021-04-11,2,7,23
2021-04-18,1,6,24
2021-04-25,1,6,22
2021-05-02,1,7,22
2021-05-09,1,6,22
2021-05-16,1,7,26
2021-05-23,2,7,29
2021-05-30,2,9,33
2021-06-06,2,8,33
2021-06-13,3,8,34
2021-06-20,4,10,34
2021-06-27,4,9,28
2021-07-04,3,8,23
2021-07-11,3,8,25
2021-07-18,3,8,24
2021-07-25,2,7,23
2021-08-01,2,7,23
2021-08-08,1,7,24
2021-08-15,1,7,24
2021-08-22,2,6,23
2021-08-29,1,7,23
2021-09-05,1,7,22
2021-09-12,1,7,25
2021-09-19,1,8,26
2021-09-26,1,7,26
2021-10-03,1,8,28
2021-10-10,1,9,32
2021-10-17,1,9,32
2021-10-24,1,11,30
2021-10-31,2,11,31
2021-11-07,2,11,31
2021-11-14,2,10,35
2021-11-21,1,9,30
2021-11-28,1,8,29
2021-12-05,1,7,29
2021-12-12,1,8,34
2021-12-19,2,8,30
2021-12-26,2,10,38
