Date,Price,Open,High,Low,Change %
10/9/2015,"13,420.00","13,710.00","13,820.00","13,270.00",-3.23%
10/8/2015,"13,867.50","13,777.50","13,882.50","13,707.50",0.31%
10/7/2015,"13,825.00","14,185.00","14,185.00","13,725.00",-2.95%
10/6/2015,"14,245.50","14,464.50","14,474.50","14,144.50",-1.72%
10/5/2015,"14,495.00","14,630.00","14,630.00","14,485.00",-1.01%
10/2/2015,"14,642.50","14,692.50","14,707.50","14,642.50",-0.19%
10/1/2015,"14,670.00","14,625.00","14,683.00","14,625.00",0.14%
9/30/2015,"14,650.00","14,645.00","14,675.00","14,635.00",-0.22%
9/29/2015,"14,682.50","14,702.50","14,732.50","14,662.50",-0.10%
9/28/2015,"14,697.50","14,682.50","14,707.50","14,657.50",0.09%
9/25/2015,"14,685.00","14,665.00","14,705.00","14,665.00",0.26%
9/24/2015,"14,647.50","14,647.50","14,647.50","14,647.50",0.00%
9/23/2015,"14,647.50","14,552.50","14,652.50","14,552.50",1.03%
9/22/2015,"14,497.50","14,462.50","14,502.50","14,462.50",0.29%
9/21/2015,"14,455.00","14,420.00","14,463.00","14,420.00",0.56%
9/18/2015,"14,375.00","14,445.00","14,485.00","14,365.00",-0.57%
9/17/2015,"14,457.50","14,442.50","14,460.50","14,437.50",0.02%
9/16/2015,"14,455.00","14,395.00","14,465.00","14,395.00",0.33%
9/15/2015,"14,407.50","14,341.50","14,412.50","14,341.50",0.42%
9/14/2015,"14,347.50","14,307.50","14,347.50","14,306.50",0.12%
9/11/2015,"14,330.00","14,295.00","14,335.00","14,280.00",-0.02%
9/10/2015,"14,332.50","14,282.50","14,337.50","14,257.50",0.50%
9/9/2015,"14,261.50","14,281.50","14,281.50","14,216.50",-0.13%
9/8/2015,"14,280.00","14,240.00","14,298.00","14,240.00",0.23%
9/7/2015,"14,247.50","14,212.50","14,251.50","14,202.50",0.58%
9/4/2015,"14,165.00","14,155.00","14,193.00","14,155.00",-0.03%
9/3/2015,"14,169.00","14,126.00","14,169.00","14,126.00",0.28%
9/2/2015,"14,130.00","14,085.00","14,140.00","14,085.00",0.23%
9/1/2015,"14,097.50","14,047.50","14,099.50","14,042.50",0.34%
8/31/2015,"14,050.00","13,975.00","14,055.00","13,975.00",0.48%
8/28/2015,"13,982.50","13,977.50","14,038.50","13,967.50",-0.07%
8/27/2015,"13,992.50","14,082.50","14,137.50","13,982.50",-0.92%
8/26/2015,"14,122.50","14,072.50","14,125.50","14,072.50",0.41%
8/25/2015,"14,065.00","14,050.00","14,090.00","14,035.00",0.13%
8/24/2015,"14,047.00","13,953.00","14,048.00","13,953.00",0.75%
8/21/2015,"13,942.50","13,877.50","13,949.50","13,877.50",0.52%
8/20/2015,"13,870.00","13,835.00","13,880.00","13,805.00",0.20%
8/19/2015,"13,842.50","13,807.50","13,842.50","13,802.50",0.18%
8/18/2015,"13,818.00","13,795.00","13,853.00","13,795.00",0.22%
8/17/2015,"13,787.50","13,787.50","13,787.50","13,787.50",0.00%
8/14/2015,"13,787.50","13,747.50","13,790.50","13,737.50",0.31%
8/13/2015,"13,745.00","13,765.00","13,795.00","13,714.00",-0.29%
8/12/2015,"13,785.00","13,655.00","13,830.00","13,655.00",1.36%
8/11/2015,"13,600.00","13,535.00","13,600.00","13,515.00",0.38%
8/10/2015,"13,549.00","13,531.00","13,549.00","13,526.00",0.07%
8/7/2015,"13,539.50","13,526.50","13,543.50","13,523.50",-0.01%
8/6/2015,"13,541.50","13,525.50","13,541.50","13,510.50",0.20%
8/5/2015,"13,514.00","13,496.00","13,520.00","13,481.00",0.21%
8/4/2015,"13,485.50","13,492.50","13,512.50","13,477.50",-0.11%
8/3/2015,"13,500.00","13,495.00","13,515.00","13,474.00",-0.20%
7/31/2015,"13,527.50","13,462.50","13,527.50","13,461.50",0.45%
7/30/2015,"13,467.50","13,457.50","13,472.50","13,452.50",0.09%
7/29/2015,"13,456.00","13,421.00","13,459.00","13,421.00",-0.05%
7/28/2015,"13,462.50","13,442.50","13,466.50","13,441.50",0.03%
7/27/2015,"13,459.00","13,441.00","13,466.00","13,441.00",0.10%
7/24/2015,"13,445.00","13,425.00","13,462.00","13,418.00",0.17%
7/23/2015,"13,422.50","13,377.50","13,422.50","13,372.50",0.34%
7/22/2015,"13,377.50","13,332.50","13,382.50","13,332.50",0.25%
7/21/2015,"13,344.50","13,344.50","13,344.50","13,344.50",0.00%
7/20/2015,"13,344.50","13,344.50","13,344.50","13,344.50",0.00%
7/17/2015,"13,344.50","13,344.50","13,344.50","13,344.50",0.00%
7/16/2015,"13,344.50","13,344.50","13,344.50","13,344.50",0.00%
7/15/2015,"13,344.50","13,322.50","13,344.50","13,312.50",0.07%
7/14/2015,"13,335.00","13,305.00","13,350.00","13,303.00",0.26%
7/13/2015,"13,300.00","13,316.00","13,317.00","13,279.00",-0.10%
7/10/2015,"13,313.50","13,318.50","13,318.50","13,293.50",-0.17%
7/9/2015,"13,336.00","13,354.00","13,359.00","13,324.00",-0.07%
7/8/2015,"13,345.00","13,330.00","13,360.00","13,320.00",0.13%
7/7/2015,"13,327.50","13,302.50","13,332.50","13,287.50",-0.16%
7/6/2015,"13,349.50","13,341.50","13,361.50","13,311.50",0.22%
7/3/2015,"13,320.00","13,297.00","13,327.00","13,297.00",-0.13%
7/2/2015,"13,337.50","13,327.50","13,362.50","13,324.50",0.09%
7/1/2015,"13,326.00","13,343.00","13,343.00","13,303.00",-0.05%
6/30/2015,"13,332.50","13,324.50","13,337.50","13,312.50",-0.09%
6/29/2015,"13,345.00","13,330.00","13,380.00","13,330.00",0.26%
6/26/2015,"13,310.00","13,331.00","13,348.00","13,300.00",-0.13%
6/25/2015,"13,327.50","13,292.50","13,332.50","13,292.50",0.18%
6/24/2015,"13,303.50","13,253.50","13,308.50","13,253.50",0.37%
6/23/2015,"13,255.00","13,305.00","13,325.00","13,250.00",-0.41%
6/22/2015,"13,310.00","13,325.00","13,335.00","13,305.00",-0.16%
6/19/2015,"13,331.50","13,306.50","13,334.50","13,301.50",0.20%
6/18/2015,"13,305.00","13,338.00","13,348.00","13,298.00",-0.47%
6/17/2015,"13,367.50","13,347.50","13,373.50","13,347.50",0.11%
6/16/2015,"13,353.00","13,330.00","13,355.00","13,325.00",0.13%
6/15/2015,"13,335.00","13,316.00","13,340.00","13,315.00",0.02%
6/12/2015,"13,332.50","13,302.50","13,337.50","13,302.50",0.09%
6/11/2015,"13,320.50","13,264.50","13,325.50","13,254.50",0.06%
6/10/2015,"13,312.50","13,307.50","13,339.50","13,287.50",0.08%
6/9/2015,"13,302.50","13,332.50","13,386.50","13,296.50",-0.58%
6/8/2015,"13,379.50","13,335.50","13,385.50","13,335.50",0.78%
6/5/2015,"13,275.50","13,294.50","13,299.50","13,274.50",-0.05%
6/4/2015,"13,282.00","13,213.00","13,293.00","13,213.00",0.46%
6/3/2015,"13,221.00","13,191.00","13,221.00","13,190.00",-0.01%
6/2/2015,"13,222.50","13,222.50","13,222.50","13,222.50",0.00%
6/1/2015,"13,222.50","13,202.50","13,237.50","13,202.50",-0.01%
5/29/2015,"13,224.00","13,191.00","13,226.00","13,191.00",0.02%
5/28/2015,"13,221.50","13,181.50","13,225.50","13,181.50",0.15%
5/27/2015,"13,202.00","13,215.00","13,241.00","13,195.00",-0.06%
5/26/2015,"13,210.00","13,175.00","13,220.00","13,175.00",0.18%
5/25/2015,"13,186.50","13,188.50","13,193.50","13,168.50",0.24%
5/22/2015,"13,155.00","13,105.00","13,171.00","13,105.00",0.19%
5/21/2015,"13,129.50","13,127.50","13,173.50","13,105.50",-0.35%
5/20/2015,"13,175.00","13,145.00","13,185.00","13,145.00",0.45%
5/19/2015,"13,115.50","13,159.50","13,189.50","13,104.50",-0.16%
5/18/2015,"13,137.00","13,085.00","13,145.00","13,085.00",0.35%
5/15/2015,"13,091.00","13,052.00","13,102.00","13,052.00",-0.35%
5/14/2015,"13,137.50","13,137.50","13,137.50","13,137.50",0.00%
5/13/2015,"13,137.50","13,157.50","13,197.50","13,127.50",-0.46%
5/12/2015,"13,198.00","13,166.00","13,213.00","13,166.00",0.33%
5/11/2015,"13,155.00","13,115.00","13,165.00","13,110.00",0.21%
5/8/2015,"13,127.50","13,122.50","13,192.50","13,092.50",-0.13%
5/7/2015,"13,145.00","13,035.00","13,151.00","13,025.00",0.84%
5/6/2015,"13,035.00","13,030.00","13,050.00","13,005.00",-0.10%
5/5/2015,"13,047.50","12,992.50","13,047.50","12,985.50",0.52%
5/4/2015,"12,980.00","12,975.00","13,030.00","12,974.00",0.14%
